   NS=250   NC=250
 A2= 0.200 G2= 0.080 ZT= 0.275
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0   SPINN=  0.1000D+01
   NB IS THE POWER TO WHICH THE SHIELDING FUNCTION IS RAISED TO
   NB=  7   TB=  0.7000D+01
   IHDPP1= 10
    0.4871262477D+02    0.9925748627D-21   70
    0.5014384184D+02    0.2408839819D-21   71
    0.5159688905D+02    0.5718633449D-22   72
    0.5307183320D+02    0.1327974471D-22   73
    0.5456874241D+02    0.3016289950D-23   74
    0.5608768614D+02    0.6700611455D-24   75
    0.5762873522D+02    0.1455744597D-24   76
    0.5919196186D+02    0.3092830185D-25   77
    0.6077743965D+02    0.6425355296D-26   78
    0.6238524364D+02    0.1305202084D-26   79
    0.6401545028D+02    0.2592188424D-27   80
    0.6566813752D+02    0.5033053256D-28   81
    0.6734338479D+02    0.9553002222D-29   82
    0.6904127304D+02    0.1772385348D-29   83
    0.7076188475D+02    0.3214046403D-30   84
    0.7250530397D+02    0.5696222164D-31   85
    0.7427161634D+02    0.9865675003D-32   86
    0.7606090912D+02    0.1669688173D-32   87
    0.7787327121D+02    0.2761057359D-33   88
    0.7970879319D+02    0.4460761647D-34   89
    0.8156756732D+02    0.7040401005D-35   90
    0.8344968764D+02    0.1085428020D-35   91
    0.8535524989D+02    0.1634479869D-36   92
    0.8728435167D+02    0.2403764313D-37   93
    0.8923709235D+02    0.3452200141D-38   94
    0.9121357319D+02    0.4841155126D-39   95
    0.9321389735D+02    0.6628378527D-40   96
    0.9523816990D+02    0.8859849089D-41   97
    0.9728649789D+02    0.1156007455D-41   98
    0.9935899037D+02    0.1472190127D-42   99
    0.1014557584D+03    0.1829737875D-43  100
    0.1035769153D+03    0.2219153739D-44  101
    0.1057225762D+03    0.2626094298D-45  102
    0.1078928586D+03    0.3031849023D-46  103
    0.1100878822D+03    0.3414507615D-47  104
    0.1123077690D+03    0.3750764466D-48  105
    0.1145526431D+03    0.4018182020D-49  106
    0.1168226312D+03    0.4197622692D-50  107
    0.1191178622D+03    0.4275490900D-51  108
    0.1214384676D+03    0.4245424311D-52  109
    0.1237845812D+03    0.4109144176D-53  110
    0.1261563395D+03    0.3876308417D-54  111
    0.1285538817D+03    0.3563381296D-55  112
    0.1309773494D+03    0.3191703075D-56  113
    0.1334268871D+03    0.2785074852D-57  114
    0.1359026422D+03    0.2367239684D-58  115
    0.1384047646D+03    0.1959630014D-59  116
    0.1409334074D+03    0.1579671062D-60  117
    0.1434887267D+03    0.1239803642D-61  118
    0.1460708813D+03    0.9472495758D-63  119
    0.1486800336D+03    0.7044196036D-64  120
    0.1513163488D+03    0.5097799959D-65  121
    0.1539799957D+03    0.3589598683D-66  122
    0.1566711460D+03    0.2458933049D-67  123
    0.1593899754D+03    0.1638361222D-68  124
    0.1621366626D+03    0.1061592109D-69  125
    0.1649113901D+03    0.6688244083D-71  126
    0.1677143443D+03    0.4096308836D-72  127
    0.1705457151D+03    0.2438470482D-73  128
    0.1734056963D+03    0.1410596949D-74  129
    0.1762944858D+03    0.7928000435D-76  130
    0.1792122855D+03    0.4328252221D-77  131
    0.1821593016D+03    0.2294883711D-78  132
    0.1851357445D+03    0.1181455094D-79  133
    0.1881418290D+03    0.5904585701D-81  134
    0.1911777745D+03    0.2864063266D-82  135
    0.1942438051D+03    0.1348031410D-83  136
    0.1973401495D+03    0.6155209285D-85  137
    0.2004670416D+03    0.2725901039D-86  138
    0.2036247201D+03    0.1170573359D-87  139
    0.2068134291D+03    0.4873074550D-89  140
    0.2100334179D+03    0.1966145246D-90  141
    0.2132849415D+03    0.7686455589D-92  142
    0.2165682603D+03    0.2910864755D-93  143
    0.2198836408D+03    0.1067549881D-94  144
    0.2232313553D+03    0.3790590070D-96  145
    0.2266116825D+03    0.1302739327D-97  146
    0.2300249073D+03    0.4332285597D-99  147
    0.2334713214D+03    0.1393668303-100  148
    0.2369512229D+03    0.4335663304-102  149
    0.2404649174D+03    0.1303987453-103  150
    0.2440127174D+03    0.3790337119-105  151
    0.2475949428D+03    0.1064462622-106  152
    0.2512119214D+03    0.2887283287-108  153
    0.2548639890D+03    0.7561528362-110  154
    0.2585514892D+03    0.1911358814-111  155
    0.2622747747D+03    0.4661598575-113  156
    0.2660342064D+03    0.1096557187-114  157
    0.2698301547D+03    0.2486974210-116  158
    0.2736629992D+03    0.5436139640-118  159
    0.2775331292D+03    0.1144776698-119  160
    0.2814409442D+03    0.2321608434-121  161
    0.2853868541D+03    0.4532291340-123  162
    0.2893712796D+03    0.8513835792-125  163
    0.2933946526D+03    0.1538241115-126  164
    0.2974574166D+03    0.2671919103-128  165
    0.3015600273D+03    0.4459896258-130  166
    0.3057029529D+03    0.7150331170-132  167
    0.3098866745D+03    0.1100574005-133  168
    0.3141116868D+03    0.1625511033-135  169
    0.3183784988D+03    0.2302597126-137  170
    0.3226876337D+03    0.3126632302-139  171
    0.3270396303D+03    0.4067554025-141  172
    0.3314350432D+03    0.5066960280-143  173
    0.3358744433D+03    0.6040489678-145  174
    0.3403584191D+03    0.6887357671-147  175
    0.3448875767D+03    0.7506311089-149  176
    0.3494625411D+03    0.7814899225-151  177
    0.3540839571D+03    0.7767193033-153  178
