   NS=95   NC=95
 A2=  0.30 G2=  0.01 ZT=  0.15
 DEGREE OF POLYNOMIAL=  9
  ISPIN=0
   IHDPP1= 10
    0.8702163838D+02    0.5496380341D-37  56
    0.9047797480D+02    0.1778386295D-38  57
    0.9402304583D+02    0.5265308257D-40  58
    0.9765905018D+02    0.1423394755D-41  59
    0.1013883290D+03    0.3505295691D-43  60
    0.1052133785D+03    0.7844196320D-45  61
    0.1091368650D+03    0.1590926761D-46  62
    0.1131616405D+03    0.2916103866D-48  63
    0.1172907614D+03    0.4816058721D-50  64
    0.1215275096D+03    0.7143388277D-52  65
    0.1258754161D+03    0.9482453379D-54  66
    0.1303382884D+03    0.1122282711D-55  67
    0.1349202420D+03    0.1179444250D-57  68
    0.1396257363D+03    0.1095787772D-59  69
    0.1444596170D+03    0.8957017264D-62  70
    0.1494271654D+03    0.6407889344D-64  71
    0.1545341554D+03    0.3989292073D-66  72
    0.1597869227D+03    0.2147727503D-68  73
    0.1651924450D+03    0.9930296229D-71  74
    0.1707584397D+03    0.3913130214D-73  75
    0.1764934814D+03    0.1303097016D-75  76
    0.1824071448D+03    0.3632464761D-78  77
    0.1885101813D+03    0.8386393847D-81  78
    0.1948147381D+03    0.1584442789D-83  79
    0.2013346343D+03    0.2416389118D-86  80
    0.2080857134D+03    0.2928467967D-89  81
    0.2150862985D+03    0.2769680770D-92  82
    0.2223577937D+03    0.2001468536D-95  83
    0.2299254890D+03    0.1077829686D-98  84
    0.2378196659D+03    0.4198110442-102  85
    0.2460771530D+03    0.1140474484-105  86
    0.2547435821D+03    0.2065940336-109  87
    0.2638767804D+03    0.2357384008-113  88
    0.2735520993D+03    0.1573450325-117  89
    0.2838712570D+03    0.5559396254-122  90
    0.2949780799D+03    0.9031731122-127  91
    0.3070892882D+03    0.5459329444-132  92
    0.3205632932D+03    0.8662728348-138  93
    0.3360893470D+03    0.1852459142-144  94
    0.3554526880D+03    0.9682721691-153  95
    0.1513936110D-01    0.3826922335D-01   1
    0.7977289101D-01    0.8351723730D-01   2
    0.1960719362D+00    0.1168431543D+00   3
    0.3640938204D+00    0.1347258517D+00   4
    0.5838872677D+00    0.1370323354D+00   5
    0.8555127243D+00    0.1264845283D+00   6
    0.1179044352D+01    0.1075005872D+00   7
    0.1554570494D+01    0.8484088846D-01   8
    0.1982193903D+01    0.6250610150D-01   9
    0.2462031927D+01    0.4314132232D-01  10
    0.2994216701D+01    0.2796264395D-01  11
    0.3578895358D+01    0.1705027454D-01  12
    0.4216230251D+01    0.9792645161D-02  13
    0.4906399218D+01    0.5302546890D-02  14
    0.5649595850D+01    0.2708805077D-02  15
    0.6446029809D+01    0.1306145190D-02  16
    0.7295927154D+01    0.5946676944D-03  17
    0.8199530713D+01    0.2556966159D-03  18
    0.9157100478D+01    0.1038486822D-03  19
    0.1016891403D+02    0.3984059972D-04  20
    0.1123526702D+02    0.1443756701D-04  21
    0.1235647364D+02    0.4941678982D-05  22
    0.1353286720D+02    0.1597401531D-05  23
    0.1476480067D+02    0.4875724490D-06  24
    0.1605264737D+02    0.1404939383D-06  25
    0.1739680154D+02    0.3820849676D-07  26
    0.1879767919D+02    0.9804387219D-08  27
    0.2025571875D+02    0.2372999398D-08  28
    0.2177138200D+02    0.5415453265D-09  29
    0.2334515491D+02    0.1164824443D-09  30
    0.2497754864D+02    0.2360415073D-10  31
    0.2666910051D+02    0.4504199583D-11  32
    0.2842037519D+02    0.8089703318D-12  33
    0.3023196581D+02    0.1366793102D-12  34
    0.3210449530D+02    0.2171113536D-13  35
    0.3403861774D+02    0.3240490478D-14  36
    0.3603501982D+02    0.4541616080D-15  37
    0.3809442250D+02    0.5972940042D-16  38
    0.4021758267D+02    0.7366032193D-17  39
    0.4240529500D+02    0.8511749472D-18  40
    0.4465839400D+02    0.9208682673D-19  41
    0.4697775614D+02    0.9319747820D-20  42
    0.4936430222D+02    0.8815627574D-21  43
    0.5181899987D+02    0.7786424595D-22  44
    0.5434286635D+02    0.6415490409D-23  45
    0.5693697151D+02    0.4925794700D-24  46
    0.5960244107D+02    0.3520468025D-25  47
    0.6234046012D+02    0.2339369920D-26  48
    0.6515227704D+02    0.1443579488D-27  49
    0.6803920770D+02    0.8261617574D-29  50
    0.7100264007D+02    0.4379048578D-30  51
    0.7404403931D+02    0.2146637484D-31  52
    0.7716495336D+02    0.9717170307D-33  53
    0.8036701903D+02    0.4055293250D-34  54
    0.8365196883D+02    0.1557627665D-35  55
    0.8702163838D+02    0.5496380341D-37  56
    0.9047797480D+02    0.1778386295D-38  57
    0.9402304583D+02    0.5265308257D-40  58
    0.9765905018D+02    0.1423394755D-41  59
    0.1013883290D+03    0.3505295691D-43  60
    0.1052133785D+03    0.7844196320D-45  61
    0.1091368650D+03    0.1590926761D-46  62
    0.1131616405D+03    0.2916103866D-48  63
    0.1172907614D+03    0.4816058721D-50  64
    0.1215275096D+03    0.7143388277D-52  65
    0.1258754161D+03    0.9482453379D-54  66
    0.1303382884D+03    0.1122282711D-55  67
    0.1349202420D+03    0.1179444250D-57  68
    0.1396257363D+03    0.1095787772D-59  69
    0.1444596170D+03    0.8957017264D-62  70
    0.1494271654D+03    0.6407889344D-64  71
    0.1545341554D+03    0.3989292073D-66  72
    0.1597869227D+03    0.2147727503D-68  73
    0.1651924450D+03    0.9930296229D-71  74
    0.1707584397D+03    0.3913130214D-73  75
    0.1764934814D+03    0.1303097016D-75  76
    0.1824071448D+03    0.3632464761D-78  77
    0.1885101813D+03    0.8386393847D-81  78
    0.1948147381D+03    0.1584442789D-83  79
    0.2013346343D+03    0.2416389118D-86  80
    0.2080857134D+03    0.2928467967D-89  81
    0.2150862985D+03    0.2769680770D-92  82
    0.2223577937D+03    0.2001468536D-95  83
    0.2299254890D+03    0.1077829686D-98  84
    0.2378196659D+03    0.4198110442-102  85
    0.2460771530D+03    0.1140474484-105  86
    0.2547435821D+03    0.2065940336-109  87
    0.2638767804D+03    0.2357384008-113  88
    0.2735520993D+03    0.1573450325-117  89
    0.2838712570D+03    0.5559396254-122  90
    0.2949780799D+03    0.9031731122-127  91
    0.3070892882D+03    0.5459329444-132  92
    0.3205632932D+03    0.8662728348-138  93
    0.3360893470D+03    0.1852459142-144  94
    0.3554526880D+03    0.9682721691-153  95
   NS=95  NC=95
   CLC11(IK)
    1     0.3478D-01
    SUBROUTINE SINGLE COMPLETE
 SLS
     -0.11691079D+01      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
 SLC
      0.11664181D+01      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
 CLS
      0.16641806D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
      0.00000000D+00      0.00000000D+00      0.00000000D+00      0.00000000D+00
 CLC
      0.43314953D-01      0.00000000D+00      0.00000000D+00      0.00000000D+00
